Scopus Source ID,Title,Citation Count,Scholarly Output,Percent Cited,CiteScore,SNIP,SJR,Scopus ASJC Code (Sub-subject Area),Scopus Sub-Subject Area,Percentile,RANK,Rank Out Of,Publisher,Main Publisher,Type,Open Access,Quartile,Top 10% (CiteScore Percentile),URL Scopus Source ID,Print ISSN,E-ISSN
21101045278,Otorhinolaryngology (Italy),21,125,14,0.2,0.046,0.105,2733,Otorhinolaryngology,7,113,121,Edizioni Minerva Medica,Edizioni Minerva Medica,j,No,4,FALSE,https://www.scopus.com/sourceid/21101045278,27246302,27246760
21101045278,Otorhinolaryngology (Italy),21,125,14,0.2,0.046,0.105,2746,Surgery,4,544,568,Edizioni Minerva Medica,Edizioni Minerva Medica,j,No,4,FALSE,https://www.scopus.com/sourceid/21101045278,27246302,27246760
21101045279,Lublin Studies in Modern Languages and Literature,48,152,21,0.3,0.516,0.165,1208,Literature and Literary Theory,62,435,1160,"Faculty of Humanities, Maria Curie-Sklodowska University Press","Faculty of Humanities, Maria Curie-Sklodowska University Press",j,No,2,FALSE,https://www.scopus.com/sourceid/21101045279,,24504580
21101045279,Lublin Studies in Modern Languages and Literature,48,152,21,0.3,0.516,0.165,1203,Language and Linguistics,34,739,1126,"Faculty of Humanities, Maria Curie-Sklodowska University Press","Faculty of Humanities, Maria Curie-Sklodowska University Press",j,No,3,FALSE,https://www.scopus.com/sourceid/21101045279,,24504580
21101045279,Lublin Studies in Modern Languages and Literature,48,152,21,0.3,0.516,0.165,3310,Linguistics and Language,30,844,1212,"Faculty of Humanities, Maria Curie-Sklodowska University Press","Faculty of Humanities, Maria Curie-Sklodowska University Press",j,No,3,FALSE,https://www.scopus.com/sourceid/21101045279,,24504580
21101045280,Minerva Psychiatry,100,201,28,0.5,0.107,0.17,2738,Psychiatry and Mental Health,11,516,580,Edizioni Minerva Medica S.p.A.,Edizioni Minerva Medica,j,No,4,FALSE,https://www.scopus.com/sourceid/21101045280,27246612,27246108
21101045281,Economic Alternatives,149,172,39,0.9,0.366,0.166,2000,"Economics, Econometrics and Finance (all)",29,202,284,University of National and World Economy,University of National and World Economy,j,No,3,FALSE,https://www.scopus.com/sourceid/21101045281,13127462,23679409
21101045282,Acta Innovations,330,100,75,3.3,0.715,0.254,3301,Social Sciences (miscellaneous),76,157,674,Rotherham Academic Press Ltd,Rotherham Academic Press Ltd,j,Yes,1,FALSE,https://www.scopus.com/sourceid/21101045282,,23005599
21101045282,Acta Innovations,330,100,75,3.3,0.715,0.254,3304,Education,67,531,1620,Rotherham Academic Press Ltd,Rotherham Academic Press Ltd,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101045282,,23005599
21101045282,Acta Innovations,330,100,75,3.3,0.715,0.254,2701,Medicine (miscellaneous),61,167,433,Rotherham Academic Press Ltd,Rotherham Academic Press Ltd,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101045282,,23005599
21101045282,Acta Innovations,330,100,75,3.3,0.715,0.254,2201,Engineering (miscellaneous),60,104,264,Rotherham Academic Press Ltd,Rotherham Academic Press Ltd,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101045282,,23005599
21101045282,Acta Innovations,330,100,75,3.3,0.715,0.254,2739,"Public Health, Environmental and Occupational Health",55,307,687,Rotherham Academic Press Ltd,Rotherham Academic Press Ltd,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101045282,,23005599
21101045282,Acta Innovations,330,100,75,3.3,0.715,0.254,2305,Environmental Engineering,52,105,219,Rotherham Academic Press Ltd,Rotherham Academic Press Ltd,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101045282,,23005599
21101045282,Acta Innovations,330,100,75,3.3,0.715,0.254,1405,Management of Technology and Innovation,50,151,305,Rotherham Academic Press Ltd,Rotherham Academic Press Ltd,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101045282,,23005599
21101045282,Acta Innovations,330,100,75,3.3,0.715,0.254,2101,Energy (miscellaneous),45,55,100,Rotherham Academic Press Ltd,Rotherham Academic Press Ltd,j,Yes,3,FALSE,https://www.scopus.com/sourceid/21101045282,,23005599
21101045282,Acta Innovations,330,100,75,3.3,0.715,0.254,2105,"Renewable Energy, Sustainability and the Environment",40,178,297,Rotherham Academic Press Ltd,Rotherham Academic Press Ltd,j,Yes,3,FALSE,https://www.scopus.com/sourceid/21101045282,,23005599
21101045283,Journal of Medicinal Plants for Economic Development,65,55,56,1.2,0.34,0.177,2002,Economics and Econometrics,24,554,731,AOSIS (Pty) Ltd,OpenJournals Publishing AOSIS (Pty) Ltd,j,Yes,4,FALSE,https://www.scopus.com/sourceid/21101045283,2519559X,26164809
21101045283,Journal of Medicinal Plants for Economic Development,65,55,56,1.2,0.34,0.177,1110,Plant Science,22,417,534,AOSIS (Pty) Ltd,OpenJournals Publishing AOSIS (Pty) Ltd,j,Yes,4,FALSE,https://www.scopus.com/sourceid/21101045283,2519559X,26164809
21101045286,Topics in Humor Research,20,38,34,0.5,#N/A,#N/A,1208,Literature and Literary Theory,79,235,1160,John Benjamins Publishing Company,John Benjamins Publishing Company,k,No,1,FALSE,https://www.scopus.com/sourceid/21101045286,22128999,
