eid,index,afid,name,domain,url,variants
10-s2.0-100373450,20296,100373450,Hospital João XXIII,,,[]
10-s2.0-118631726,20297,118631726,Hospital Santa Casa,,,[]
10-s2.0-128037236,20298,128037236,Universidade Federai de Alienas,,,['Universidade Federai De Alienas']
10-s2.0-128036573,20299,128036573,Faculdade ce Enrerniagem Xutnçào e Fisioterapia FAENF Pontiricia Lnr.ersidade Católica do Rie Grande do Sul. Porto,,,['Faculdade Ce Enrerniagem Xutnçào E Fisioterapia Faenf Pontiricia Lnr.ersidade Católica Do Rie Grande Do Sul. Porto']
10-s2.0-127022011,20300,127022011,President of the Sociedade de Cirurgia Cardiovascular do Estado de São Paulo (Tenure 2014-2015),,,['President Of The Sociedade De Cirurgia Cardiovascular Do Estado De São Paulo (tenure 2014-2015)']
10-s2.0-122800173,20301,122800173,Interventional Pain Practice-WIP - Singular - Pain-Control Center,,,['Interventional Pain Practice-wip - Singular - Pain-control Center']
10-s2.0-108350949,20304,108350949,Fundação Cristiano Varella (FCV),,,"['Fundação Cristiano Varella (fcv)', 'Fundação Cristiano Varella', 'Fundacao Cristiano Varella', 'Cristiano Varella Foundation']"
10-s2.0-122252988,20303,122252988,Biofotônica Aplicada às Ciências da Saúde,,,['Biofotônica Aplicada Às Ciências Da Saúde']
10-s2.0-122493982,20302,122493982,Master Hospital of Plastic Surgery Marista,,,['Master Hospital Of Plastic Surgery Marista']
10-s2.0-122252620,20305,122252620,Allaser,,,['Allaser']
10-s2.0-120789671,20306,120789671,College of Technology and Science,,,['College Of Technology And Science']
10-s2.0-120010833,20309,120010833,Manancial Agronegócios,,,['Manancial Agronegócios']
10-s2.0-116497208,20308,116497208,Instituto Federal de Ciência,,,['Instituto Federal De Ciência']
10-s2.0-116505058,20307,116505058,Instituto Neotropical de Pesquisas Ambientais,,,"['Instituto Neotropical De Pesquisas Ambientais', 'Instituto Neotropical De Pesquisas Ambientais (ineo)']"
10-s2.0-116471402,20312,116471402,Agrônoma da Secretária Municipal de Gestão Ambiental e Assuntos Indígenas (SMGA),,,"['Secretaria Municipal De Gestão Ambiental E Assuntos Indígenas', 'Agrônoma Da Secretária Municipal De Gestão Ambiental E Assuntos Indígenas (smga)']"
