index,afid,name,domain,url,variants
526,117261257,Núcleo de Pesquisa e Extensão em Psicanálise (NUPEP/ UFSJ,,,['Núcleo de Pesquisa e Extensão em Psicanálise (NUPEP/ UFSJ']
527,100353735,Hospital Pérola Byington,,,"['Hospital Pérola Byington', 'Hospital Perola Byington', 'Pérola Byington Hospital', 'Perola Byington Hospital', 'Perola Byington Reference Center', 'Crsmnadi - Hospital Pérola Byington']"
528,117261000,Centro de Referência em Álcool Tabaco e Outras Drogas (CRATOD),,,"['Centro De Referência Para Álcool E Outras Drogas (cratod)', 'Centro De Referência Em Álcool Tabaco E Outras Drogas (cratod)']"
529,112924592,Faculdade de Juazeiro do Norte,,,"['Faculdade De Juazeiro Do Norte', 'University Center Of Juazeiro Do Norte', 'Secretaria Municipal De Saúde. Juazeiro Do Norte', 'Juazeiro Do Norte College', 'Juazeiro Do Norte', 'Faculdade Juazeiro Do Norte', 'Faculdade De Juazeiro Do Norte (fjn)']"
530,106720925,Centro Universitário Luterano de Palmas,,,"['Centro Universitário Luterano De Palmas', 'Ctro. Univ. Luterano De Palmas', 'Centro Universitário Luterano De Palmas (ceulp/ulbra)', 'Centro Universitário Luterano', 'Centro Universitário Integrado De Palmas', 'Centro Universitario Lutherano De Palmas', 'Centro Universitario De Palmas', 'Centro Luterano De Palmas']"
531,117260913,Arte e Política-UFRGS,,,['Arte e Política-UFRGS']
532,112509874,Psicologia Clínica da PUC-Rio,,,['Psicologia Clínica Da Puc-rio']
533,101620441,GENESIS - Centro de Assistência em Reprodução Humana,,,"['Genesis - Centro De Assistência Em Reprodução Humana', 'Genesis Centro De Assistência Em Reprodução Humana', 'Genesis-centro De Assistência Em Reprodução Humana', 'Gênesis Centro De Assistência E Reprodução Humana', 'Genesis-centro De Assistencia Em Reproducao Humana', 'Genesis Centro De Assistência Em Reprodução Humana Ltda', 'Centro De Assistência Em Reprodução Humana']"
534,117215876,PROADI/SUS - Brazilian Government,,,['PROADI/SUS - Brazilian Government']
535,100476307,Centro Universitário Lusíada,,,[]
536,127237714,National Institute of Science and Technology,,,"['National Institute Of Science And Technology', 'National Institute Of Science And Technology In Nano-biopharmaceutics']"
537,60069337,Hospital Santa Catarina,hsc.org.br,,['Hospital Santa Catarina']
538,119586018,Jornal de Pediatria,,,['Jornal De Pediatria']
539,122154057,Grupo Fleury,,,['Grupo Fleury']
540,101704019,Postgraduate Program,,,"['Postgraduate Program', 'Postgraduation Program', 'Postgraduation Program And Endocrinology Service', 'Post-graduate Program', 'Ciências Médicas Postgraduate Program']"
541,100400180,Endocrinology Service,,,['Endocrinology Service']
542,112593819,Albert Sabin Children's Hospital,,,[]
543,60104784,Universidade Ceuma (UNICEUMA),,http://www.ceuma.br/,['Universidade Ceuma (UNICEUMA)']
544,108350967,Medical College of Jundiaí,,,"['Medical College Of Jundiai', 'Medical College Of Jundiaí', 'Jundiaí Physical Education College', 'Jundiaí Medical School', 'Medical College Of Jundiaí - Thoracic Surgery']"
545,60271977,"Instituto Federal de Educação, Ciência e Tecnologia do Triangulo Mineiro (IFTM)",iftm.edu.br,https://iftm.edu.br/,"['Instituto Federal do Triângulo Mineiro', 'Federal Institute of Education, Science and Technology of Triangulo Mineiro', 'Instituto Federal de Educación, Ciencia y Tecnología del Triângulo Mineiro']"
546,121267677,State University of Minas Gerais,,,[]
547,60019749,Universidade Estadual do Rio Grande do Sul,uergs.edu.br,http://www.uergs.edu.br,"['State University of Rio Grande do Sul', 'Universidade Estadual do Rio Grande do Sul']"
548,116464287,Centro Universitário Estácio-FIC,,,['Centro Universitário Estácio-FIC']
549,116464008,Hospital Geral Dr César Cals de Oliveira,,,['Hospital Geral Dr César Cals de Oliveira']
550,60006437,Instituto Brasileiro de Geografia e Estatistica,ibge.gov.br,http://www.ibge.gov.br/home/,['Instituto Brasileiro de Geografia e Estatistica']
551,60070419,"Pan American Health Organization, Brasilia",,,"['Pan American Health Organization, Brasilia']"
552,112323421,Secretariat of Health Surveillance,,,"['Secretariat Of Health Surveillance', 'Health Surveillance Secretariat (svs)', 'Health Surveillance Secretariat', 'Health Surveillance']"
553,116461487,Health Attention Secretariat,,,['Health Attention Secretariat']
554,113120514,Netherlands Leprosy Relief,,,['Netherlands Leprosy Relief']
555,116448755,Grupo de Estudos e Pesquisas em Epidemiologia da Atividade Física (GEPEAF),,,"['Grupo De Estudos E Pesquisas Em Epidemiologia Da Atividade Física (gepeaf)', 'Grupo De Estudos E Pesquisas Em Epidemiologia Da Atividade Física', 'Grupo De Estudos E Pesquisas Em Epidemiologia Da Atividade Física - Gepeaf']"
556,109728554,National Institute of Hormones and Women's Health,,,"[""National Institute Of Hormones And Women's Health"", ""National Institute Of Science And Technology (inct) Of Hormones And Women's Health""]"
557,100396006,Hospital Português,,,[]
558,112859822,Bonsucesso Federal Hospital,,,[]
559,60070422,Real Hospital Portugues,rhp.com.br,http://www.rhp.com.br/,['Real Hospital Portugues']
560,108326107,Universidade Federal do Sergipe,,,['Universidade Federal Do Sergipe']
561,116430060,Hospital Português de Recife,,,['Hospital Português de Recife']
562,60011039,"Instituto de Pesquisas Energeticas e Nucleares, Sao Paulo",ipen.br,https://www.ipen.br/portal_por/portal/default.php,"['Instituto de Pesquisas Energeticas e Nucleares, Sao Paulo', 'Instituto de Pesquisas Energéticas e Nucleares']"
563,60026689,Ministerio da Ciencia e Tecnologia,mct.gov.br,,['Ministerio da Ciencia e Tecnologia']
564,101191305,School of Medicine of Marilia,,,[]
565,112635666,Fisheries Institute,,,['Fisheries Institute']
566,130016983,University of São Paulo State,,,[]
567,115838696,Lume Diagnostic Imaging,,,['Lume Diagnostic Imaging']
568,112355760,Brazilian College of Radiology and Diagnostic Imaging,,,['Brazilian College of Radiology and Diagnostic Imaging']
569,112873027,Exercise Medicine Clinic (CLINIMEX),,,[]
570,60062476,Hospital do Servidor Publico Estadual,,,['Hospital do Servidor Publico Estadual']
571,60019023,Fiocruz Amazônia,portal.fiocruz.br,https://portal.fiocruz.br/en/unidade/fiocruz-amazonia,"['Centro de Pesquisa Leonidas de Maria Deane', 'Fiocruz Amazônia', 'Fiocruz Amazonas - Instituto de Pesquisas Leônidas e Maria Deane', 'Fiocruz Amazonas - Leonidas and Maria Deane Research Institute']"
572,101975969,Hospital Correia Picanço,,,[]
573,108383529,Occupational Safety and Medicine Foundation Jorge Duprat Figueiredo-Fundacentro,,,"['Occupational Safety And Medicine Foundation Jorge Duprat Figueiredo-fundacentro', 'Fundação Jorge Duprat']"
574,101112725,Faculdade de Ciências Médicas de Minas Gerais,,,[]
575,108137687,Santa Marcelina Hospital,,,['Santa Marcelina Hospital']
576,60016167,"Waters Corporation, USA",waters.com,http://www.waters.com/,"['Waters Corporation, USA']"
577,112604660,Universidade Estadual do Amazonas,,,['Universidade Estadual Do Amazonas']
578,105473339,Santa Casa de Misericórdia de São Carlos,,,"['Santa Casa De Misericórdia De Sao Carlos', 'Santa Casa De Misericórdia Hospital São Carlos', 'Santa Casa De Misericórdia De São Carlos', 'Santa Casa De Misericórdia Hospital', 'Irmandade Santa Casa De Misericórdia De São Carlos (iscmsc) - Sp', 'Irmandade Da Santa Casa De Misericórdia De São Carlos', 'Fraternity Of The Santa Casa De Misericordia Hospital Of São Carlos']"
579,113079621,National Institute of Developmental Psychiatry for Children and Adolescents,,,[]
580,116304769,Departamento de Engenharia Sanitária e Ambiental,,,['Departamento De Engenharia Sanitária E Ambiental']
581,60271066,Instituto Nacional de Controle de Qualidade em Saúde,incqs.fiocruz.b,https://www.incqs.fiocruz.br/,['Instituto Nacional de Controle de Qualidade em Saúde']
582,100651489,Faculty of Dentistry,,,"['Faculty Of Dentistry', 'Faculty Of Dentistry Of Piracicaba', 'Faculty Of Dentistry And Institute Of Research']"
583,60071504,University of Puerto Rico School of Medicine,md.rcm.upr.edu,http://www.md.rcm.upr.edu/,['University of Puerto Rico School of Medicine']
584,114950218,Valença Higher Education Center,,,"['Valença Higher Education Center', 'Valença Higher Education Centre', 'Center Of Higher Education In Valença']"
585,60101657,Universidade Estadual de Ciências da Saúde de Alagoas,,http://www.uncisal.edu.br/,['Universidade Estadual de Ciências da Saúde de Alagoas']
586,113026649,Universidad Estadual de Ciencias da Saude de Alagoas,,,[]
587,100458838,Jundiaí Medical School,,,[]
588,112609064,Pio XII Foundation,,,['Pio Xii Foundation']
589,116280623,Programa de Residência de Clínica Médica Do Hospital Santo Antônio,,,['Programa De Residência De Clínica Médica Do Hospital Santo Antônio']
590,60030083,Escola Bahiana de Medicina e Saúde Pública – EBMSP,en.bahiana.edu.br,https://en.bahiana.edu.br/,"['Escola Bahiana de Medicina e Saude Publica', 'Bahia School of Medicine and Public Health', 'Escola Bahiana de Medicina e Saúde Pública – EBMSP']"
591,60048829,UNIFENAS Universidade Jose do Rosario Vellano,unifenas.br,http://www.unifenas.br/,['UNIFENAS Universidade Jose do Rosario Vellano']
592,101662006,CDPI,,,"['Cdpi', 'Clínica Cdpi', 'Cdpi Neuroimaging', 'Cdpi Criança']"
593,60070735,Centro Infantil Boldrini,boldrini.org.br,https://www.boldrini.org.br/,"['Centro Infantil Boldrini', ""Boldrini Children's Center"", 'Hospital Boldrini']"
594,113022150,Midwest State University of Paraná,,,[]
595,116271902,Departamento de Fisioterapia do Centro,,,[]
596,112656350,Departamento de Polícia Federal,,,"['Departamento De Polícia Federal', 'Polícia Federal', 'Departamento De Policia Federal', 'Departamento Da Polícia Rodoviária Federal']"
597,113119618,Hospital de Olhos Paulista,,,[]
598,112617463,Clínica de Medicina do Exercício-CLINIMEX,,,[]
599,126608106,State University of the Midwest of Paraná,,,"['State University Of The Midwest Of Paraná', 'State University Of The Midwest', 'State University Of Midwest Paraná', 'Midwest State University Of Parana', 'Midwest State University']"
600,60070418,AACD,aacd.org.br,http://www.aacd.org.br/,['AACD']
601,116269025,Laboratório Central Doutor Almino Fernandes,,,"['Laboratório Central Dr. Almino Fernandes', 'Laboratório Central Doutor Almino Fernandes', 'Laboratorio Central Dr. Almino Fernandes (lacen/rn)']"
602,117782651,Aggeu Magalhães Research Center,,,['Aggeu Magalhães Research Center']
603,115720273,University Hospital Ana Bezerra,,,"['University Hospital Ana Bezerra', 'Hospital Universitário Ana Bezerra']"
604,116267464,Museóloga Museu da Saúde (MS),,,['Museóloga Museu da Saúde (MS)']
605,116266963,Laboratório de Pesquisa em Imagens Médicas,,,"['Laboratório De Pesquisa Em Imagens Médicas', 'Laboratório De Pesquisas Em Imagens Médicas']"
606,100709850,Irmandade Santa Casa de Misericórdia de Porto Alegre,,,[]
607,60004651,"Universidade Federal do Rio Grande do Norte, Centro de Ciencias da Saude Faculdade de Medicina",ufrn.br,http://www.ccs.ufrn.br/,"['Federal University of Rio Grande do Norte, Center of Health Sciences Faculty of Medicine', 'Universidade Federal do Rio Grande do Norte, Centro de Ciencias da Saude Faculdade de Medicina']"
608,116266888,Laboratório de Pesquisa em Imagens Médicas,,,['Laboratório de Pesquisa em Imagens Médicas']
609,60103619,Faculdade São Leopoldo Mandic,,http://www.slmandic.edu.br/,['Faculdade São Leopoldo Mandic']
610,60290988,Associação Paulista de Cirurgiões-Dentistas,apcd.org.br,https://www.apcd.org.br/,['Associação Paulista de Cirurgiões-Dentistas']
611,60052808,Secretaria de Estado da Saude de Sao Paulo,portal.saude.sp.gov.br,http://portal.saude.sp.gov.br/folder/ses_geral.mmp?home=402881b40e9f7c76010ea499333c0037,['Secretaria de Estado da Saude de Sao Paulo']
612,60006854,Universidade de Araraquara,uniara.com.br,https://www.uniara.com.br/,"['Universidade de Araraquara', 'University of Araraquara']"
613,116617029,Hospital e Clínica São Gonçalo,,,[]
614,116267338,Hospital Icaraí,,,"['Hospital Icaraí', 'Icaraí Hospital']"
615,60069940,Instituto Nacional de Metrologia,inmetro.gov.br,http://www.inmetro.gov.br/,['Instituto Nacional de Metrologia']
616,109494094,National Institute of Science and Technology for Health Technology Assessment (IATS),,,[]
617,116249929,Paulist State University Dental School,,,['Paulist State University Dental School']
618,116250561,Child,,,"['Child', ""Federal University Children's Hosp."", ""Children's Hospital""]"
619,118764705,Núcleo de Bacteriologia,,,['Núcleo De Bacteriologia']
620,60027877,Universidade Potiguar,unp.br,,"['Potiguar University', 'Universidade Potiguar']"
621,60012642,Universidade do Vale do Paraiba,univap.br,http://www.univap.br,"['University of Paraiba Valley', 'Universidade do Vale do Paraiba', 'University of Vale do Paraíba']"
622,100361638,Hospital Getúlio Vargas,,,[]
623,116248645,University Hospital President Dutra,,,[]
624,116248642,Unidade de Referência em Doenças Infecciosas,,,['Unidade de Referência em Doenças Infecciosas']
625,113245056,Instituto Federal de Educação,,,['Instituto Federal De Educação']
626,108422164,FACID,,,"['Facid', 'Facid Devry']"
627,101747712,São Francisco University (USF),,,[]
628,116248328,Instituto de Bioética,,,['Instituto de Bioética']
629,113041318,Instituto de Hematologia Arthur de Siqueira Cavalcanti (HEMORIO),,,[]
