eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85029915392,,,,Neuromarketing applied to tourism: An introductory vision,ch,Book Chapter,Chavaglia J.,,Iscte – Instituto Universitário de Lisboa;Ipdois neurobusiness,Lisbon;Sao Paulo,Portugal;Brazil,,,,,2016-01-01,1 January 2016,Modeling and New Trends in Tourism A Contribution to Social and Economic Development,,21100831475,,Book,,,,135-150,,,1,0,,,,,
2-s2.0-85029641525,,,,Reliable labeling: Regulatory aspects for commercializing creatine-based supplements in Brazil,ch,Book Chapter,Roberto Furquim N.,,Universidade Presbiteriana Mackenzie,Sao Paulo,Brazil,,,,,2016-01-01,1 January 2016,Food Markets Consumer Perceptions Government Regulations and Health Impacts,,21100831078,,Book,,,,129-148,,,0,0,,,,,
2-s2.0-85029048904,,,,Entrepreneurship in Brazil: Cultural and psychological aspects,ch,Book Chapter,Barlach L.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2016-01-01,1 January 2016,Entrepreneurship and Firm Performance,,21100829996,,Book,,,,51-60,,,0,0,,,,,
2-s2.0-85028677057,10.1590/1678-69712016/administracao.v17n5p61-84,,,Meanings of volunteer work: A study with members of a Lutheran institution,ar,Article,Borchardt P.,,Instituto Federal do Espírito Santo,Vitoria,Brazil,,,,,2016-01-01,2016,Revista De Administracao Mackenzie,15186776,21100896892,16786971,Journal,17,5,,61-84,,,5,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85027012521,10.5367/te.2015.0473,,,International travel to and from Brazil -Overseas tourism as a luxury good and a status symbol,ar,Article,Gunter U.,,MODUL University Vienna,Vienna,Austria,,,,,2016-01-01,2016,Tourism Economics,13548166,16543,,Journal,22,5,,1151-1160,,,6,0,,,,,
2-s2.0-85026488175,10.5890/jeam.2016.09.002,,,Greening a cuban local mango supply chain: Sustainability options and management strategies,ar,Article,Giannetti B.F.,,Universidade Federal de São Carlos;Universidade Paulista;Laboratório de Produção e Meio Ambiente,Sao Carlos;Sao Paulo;,Brazil;Brazil;Brazil,,,,,2016-01-01,2016,Journal of Environmental Accounting and Management,23256192,21100787105,,Journal,4,3,,253-268,,,4,0,,,,,
2-s2.0-85026443602,,,,Solidarity economy as a counterpoint to classical economics: Possibilities of changes,ar,Article,Teixeira Coriolano L.,,Universidade Regional de Blumenau;Universidade Esta-dual do Ceará,Blumenau;Quixada,Brazil;Brazil,,,,,2016-01-01,2016,Tourismos,17908418,18400156713,,Journal,11,2,,1-21,,,0,0,,,,,
2-s2.0-85026270547,10.5465/AMBPP.2016.272,,,Engagement and mutual influence of multiple audiences and the performance of boundary spanners,cp,Conference Paper,Reis S.,,Departamento de Economía de la Empresa Universidad Carlos III de Madrid,Getafe,Spain,,,,,2016-01-01,2016,Academy of Management Annual Meeting Proceedings,00650668,21101208626,21516561,Conference Proceeding,,,,1563-1568,,,0,0,,,,,
2-s2.0-85026204818,10.5465/AMBPP.2016.141,,,Policy interventions in public contracting: Effects on public value creation and firm level outcomes,cp,Conference Paper,Cabral S.,,"Insper, Sao Paulo",Sao Paulo,Brazil,,,,,2016-01-01,2016,Academy of Management Annual Meeting Proceedings,00650668,21101208626,21516561,Conference Proceeding,,,,338-343,,,0,0,,,,,
2-s2.0-85024930669,10.4324/9781315628585,,,Political economy and Latin American independence from the nineteenth to the twentieth century,ch,Book Chapter,Cunha A.M.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2016-01-01,1 January 2016,Political Economy of Latin American Independence,,21100823527,,Book,,,,7-31,,,2,2,all repository repositoryam,All Open Access Green,,,
