eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85029930505,10.1140/epjc/s10052-017-5180-3,,,Study of WWγ and WZγ production in pp collisions at √s=8TeV and search for anomalous quartic gauge couplings with the ATLAS experiment,ar,Article,Aaboud M.,,Université Mohammed Premier Oujda,Oujda,Morocco,,,,,2017-09-01,1 September 2017,European Physical Journal C,14346044,27545,14346052,Journal,77,9,646,,,,38,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85029918590,10.1109/TBC.2017.2704424,,,Simplified Method for Log-Likelihood Ratio Approximation in High-Order Modulations Based on the Voronoi Decomposition,ar,Article,Olivatto V.B.,,Universidade Estadual de Campinas;Instituto de Pesquisas Eldorado,Campinas;Campinas,Brazil;Brazil,,,,,2017-09-01,September 2017,IEEE Transactions on Broadcasting,00189316,19901,,Journal,63,3,7936580,583-589,,,12,0,,,,,
2-s2.0-85029872441,,,,Seabed mapping with HISAS sonar for decommissioning projects high-resolution surveying for decom planning,ar,Article,Neto A.A.,,Universidade Federal Fluminense,Niteroi,Brazil,,,,,2017-09-01,September 2017,Sea Technology,00933651,14396,,Trade Journal,58,9,,15-18,,,4,0,,,,,
2-s2.0-85029852676,10.1109/TAC.2017.2668359,,,Modeling and Control of Stochastic Systems with Poorly Known Dynamics,ar,Article,Do Val J.B.R.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2017-09-01,September 2017,IEEE Transactions on Automatic Control,00189286,17339,,Journal,62,9,7852438,4467-4482,,,10,0,,,,,
2-s2.0-85029816484,10.1140/epjc/s10052-017-5210-1,,,Nonlocal teleparallel cosmology,ar,Article,Bahamonde S.,,University College London,London,United Kingdom,,,,,2017-09-01,1 September 2017,European Physical Journal C,14346044,27545,14346052,Journal,77,9,628,,,,32,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85029807776,10.1140/epjc/s10052-017-5182-1,,,Search for new phenomena with multiple charged leptons in proton–proton collisions at √s=13TeV,ar,Article,Khachatryan V.,,Yerevan Physics Institute,Yerevan,Armenia,,,,,2017-09-01,1 September 2017,European Physical Journal C,14346044,27545,14346052,Journal,77,9,635,,,,11,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85029788221,10.1140/epjc/s10052-017-5189-7,,,Weyl and transverse diffeomorphism invariant spin-2 models in D= 2 + 1,ar,Article,Dalmazi D.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2017-09-01,1 September 2017,European Physical Journal C,14346044,27545,14346052,Journal,77,9,620,,,,2,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85029785085,10.1680/jmuen.16.00014,,,Location factors affecting trip generation during megaevents,ar,Article,Silva M.A.V.d.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2017-09-01,1 September 2017,Proceedings of the Institution of Civil Engineers Municipal Engineer,09650903,16162,17517699,Journal,170,3,,151-164,,,3,0,,,,,
2-s2.0-85029712945,10.1140/epjc/s10052-017-5151-8,,,Study of charmonium production in b -hadron decays and first evidence for the decay Bs0,ar,Article,Aaij R.,,Organisation Européenne pour la Recherche Nucléaire,Geneva,Switzerland,,,,,2017-09-01,1 September 2017,European Physical Journal C,14346044,27545,14346052,Journal,77,9,609,,,,20,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85029702412,10.1140/epjc/s10052-017-5176-z,,,Gauges and functional measures in quantum gravity II: higher-derivative gravity,ar,Article,Ohta N.,,Kindai University,Higashiosaka,Japan,,,,,2017-09-01,1 September 2017,European Physical Journal C,14346044,27545,14346052,Journal,77,9,611,,,,51,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85029680753,,,,Effect of total harmonics distortion on distance and overcurrent relays,cp,Conference Paper,Wannous K.,,Brno University of Technology,Brno,Czech Republic,,,,,2017-09-01,1 September 2017,Proceedings of the 9th International Scientific Symposium on Electrical Power Engineering Elektroenergetika 2017,,21100831301,,Conference Proceeding,,,,670-674,,,2,0,,,,,
2-s2.0-85029582270,10.1140/epjc/s10052-017-5173-2,,,"Photon and Pomeron-induced Production of Dijets in pp, pA and AA Collisions",ar,Article,Basso E.,,Universidade Federal da Grande Dourados,Dourados,Brazil,,,,,2017-09-01,1 September 2017,European Physical Journal C,14346044,27545,14346052,Journal,77,9,600,,,,17,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85029505580,10.1109/TCAD.2016.2629451,,,Transistor Count Optimization in IG FinFET Network Design,ar,Article,Possani V.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2017-09-01,September 2017,IEEE Transactions on Computer Aided Design of Integrated Circuits and Systems,02780070,27724,,Journal,36,9,7747482,1483-1496,,,1,0,,,,,
2-s2.0-85029433084,10.1177/0265813516655799,,,A catchment scale Integrated Flood Resilience Index to support decision making in urban flood control design,ar,Article,Miguez M.G.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2017-09-01,1 September 2017,Environment and Planning B Urban Analytics and City Science,23998083,21101021196,23998091,Journal,44,5,,925-946,,,91,0,,,,,
2-s2.0-85029379729,10.1177/1082013217701859,,28345353,A combined approach to decrease the technological and sensory defects caused by fat and sodium reduction in Bologna-type sausages,ar,Article,Campagnol P.C.B.,,Universidade Federal de Santa Maria,Santa Maria,Brazil,,,,,2017-09-01,1 September 2017,Food Science and Technology International,10820132,23189,15321738,Journal,23,6,,471-479,,,13,0,,,,,
2-s2.0-85029370889,10.1109/MPOT.2016.2563179,,,Electricity Auction Simulation Platform for Learning Competitive Energy Markets,ar,Article,Xavier E.B.,,Universidade Federal de Juiz de Fora,Juiz de Fora,Brazil,,,,,2017-09-01,September-October 2017,IEEE Potentials,02786648,17299,,Journal,36,5,8026614,32-36,,,1,0,,,,,
2-s2.0-85029221984,10.1088/2053-1583/aa76f4,,,Spontaneous doping on high quality talc-graphene-hBN van der Waals heterostructures,ar,Article,Mania E.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2017-09-01,September 2017,2d Materials,,21100404576,20531583,Journal,4,3,031008,,,,30,0,,,,,
2-s2.0-85029217954,10.1140/epjc/s10052-017-5144-7,,,"Erratum to: Production of π0 and η mesons up to high transverse momentum in pp collisions at 2.76 TeV (The European Physical Journal C, (2017), 77, 5, (339), 10.1140/epjc/s10052-017-4890-x)",er,Erratum,Acharya S.,,Variable Energy Cyclotron Centre India,Kolkata,India,,,,,2017-09-01,1 September 2017,European Physical Journal C,14346044,27545,14346052,Journal,77,9,586,,,,5,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85029170054,10.3390/e19090459,,,"The KCOD model on (3, 4, 6, 4) and (34, 6) Archimedean lattices",ar,Article,De Sousa Lima F.W.,,Universidade Federal do Piauí,Teresina,Brazil,,,,,2017-09-01,1 September 2017,Entropy,,13715,10994300,Journal,19,9,459,,,,2,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85029168444,10.1088/2053-1583/aa8210,,,Oxygen impact on the electronic and vibrational properties of black phosphorus probed by synchrotron infrared nanospectroscopy,ar,Article,Grasseschi D.,,Universidade Presbiteriana Mackenzie,Sao Paulo,Brazil,,,,,2017-09-01,September 2017,2d Materials,,21100404576,20531583,Journal,4,3,035028,,,,19,0,,,,,
2-s2.0-85029166614,10.1007/s40544-017-0186-2,,,Tribological behaviour of sintered iron based self-lubricating composites,re,Review,De Mello J.D.B.,,Universidade Federal de Santa Catarina;Universidade Federal de Uberlândia,Florianopolis;Uberlandia,Brazil;Brazil,,,,,2017-09-01,1 September 2017,Friction,22237690,21100466461,22237704,Journal,5,3,,285-307,,,53,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85029154858,10.4067/S0718-33052017000300492,,,Embedment strength of steel dowel in wood specimens according to ABNT NBR 7190:1997 and ASTM d5764: 2007 standards,ar,Article,Molina J.,,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil,,,,,2017-09-01,September 2017,Ingeniare,07183291,11600154153,07183305,Journal,25,3,,492-500,,,5,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85029152294,10.3390/e19090435,,,Contextuality and indistinguishability,ar,Article,De Barros J.A.,,San Francisco State University,San Francisco,United States,,,,,2017-09-01,1 September 2017,Entropy,,13715,10994300,Journal,19,9,435,,,,16,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85029042129,10.1109/LES.2017.2712858,,,Open Challenges for Probabilistic Measurement-Based Worst-Case Execution Time,ar,Article,Jimenez Gil S.,,University of York,York,United Kingdom,,,,,2017-09-01,September 2017,IEEE Embedded Systems Letters,19430663,19700177026,,Journal,9,3,7942057,69-72,,,41,2,all repository repositoryam,All Open Access Green,,,
2-s2.0-85028991611,10.1002/pssa.201700096,,,Electrochemical behaviour of some redox couples at layer-by-layer assembled poly(diallyl dimethylammonium)/reduced graphene oxide electrodes,ar,Article,Costa Santos A.,,Universidade de Brasília,Brasília,Brazil,,,,,2017-09-01,September 2017,Physica Status Solidi A Applications and Materials Science,18626300,5800179580,18626319,Journal,214,9,1700096,,,,6,0,,,,,
